Joy,Trust,Fear,Surprise,Sad,Disgust,Anger,Anticipate,Max,Min
-9.623053116,1.994527236,2.475557009,-3.978378066,-5.377053322,3.022524991,1.090425274,-1.389596348,3.022524991,-9.623053116
-9.622200366,1.994584804,2.475825758,-3.978290651,-5.377306383,3.022266846,1.09001396,-1.389469157,3.022266846,-9.622200366
-9.622195249,1.994559928,2.475775045,-3.978261667,-5.377229534,3.022264307,1.090045187,-1.389468807,3.022264307,-9.622195249
-9.622621784,1.994531921,2.475642254,-3.978306279,-5.377105402,3.022393458,1.090249869,-1.389532414,3.022393458,-9.622621784
-9.622611028,1.994545233,2.475671755,-3.978319379,-5.377147702,3.022390696,1.090227866,-1.389530603,3.022390696,-9.622611028
-9.622398096,1.994558821,2.47573723,-3.978296663,-5.377208447,3.022326207,1.090126212,-1.389498856,3.022326207,-9.622398096
-9.622410121,1.994551741,2.475720436,-3.978290823,-5.377185401,3.022329601,1.090140387,-1.389500753,3.022329601,-9.622410121
-9.622516211,1.994545168,2.475688222,-3.978302363,-5.377155748,3.02236174,1.090190771,-1.389516567,3.02236174,-9.622516211
-9.622506887,1.994548913,2.475697625,-3.978304923,-5.377168197,3.022359039,1.090182111,-1.389515125,3.022359039,-9.622506887
-9.622454133,1.994552083,2.475713438,-3.978299073,-5.377182635,3.022343054,1.090157189,-1.389507263,3.022343054,-9.622454133
-9.622460442,1.994550111,2.475708243,-3.978297976,-5.37717596,3.022344903,1.090162297,-1.389508229,3.022344903,-9.622460442
-9.622486622,1.994548588,2.475700499,-3.978300935,-5.377168949,3.022352838,1.090174599,-1.38951213,3.022352838,-9.622486622
-9.62248265,1.994549621,2.475703338,-3.978301391,-5.377172505,3.022351666,1.090171661,-1.389511525,3.022351666,-9.62248265
-9.622469684,1.99455035,2.475707122,-3.978299897,-5.3771759,3.022347735,1.090165602,-1.389509594,3.022347735,-9.622469684
-9.622472075,1.994549811,2.475705584,-3.978299716,-5.377174016,3.022348444,1.09016726,-1.389509956,3.022348444,-9.622472075
-9.622478483,1.994549463,2.47570374,-3.978300468,-5.377172377,3.022350387,1.090170238,-1.389510911,3.022350387,-9.622478483
-9.622477088,1.994549744,2.475704567,-3.978300536,-5.37717337,3.022349972,1.090169316,-1.3895107,3.022349972,-9.622477088
-9.622473927,1.994549909,2.475705463,-3.978300157,-5.377174159,3.022349013,1.090167855,-1.389510229,3.022349013,-9.622473927
-9.622474723,1.994549763,2.475705022,-3.978300135,-5.377173637,3.022349251,1.090168362,-1.389510349,3.022349251,-9.622474723
-9.622476279,1.994549685,2.475704587,-3.978300325,-5.37717326,3.022349723,1.090169076,-1.389510581,3.022349723,-9.622476279
-9.622475832,1.994549761,2.475704821,-3.97830033,-5.377173532,3.022349589,1.090168801,-1.389510513,3.022349589,-9.622475832
-9.622475068,1.994549797,2.475705031,-3.978300235,-5.377173712,3.022349358,1.090168452,-1.3895104,3.022349358,-9.622475068
-9.622475316,1.994549759,2.475704908,-3.978300236,-5.377173571,3.022349432,1.090168601,-1.389510437,3.022349432,-9.622475316
-9.62247569,1.994549741,2.475704807,-3.978300283,-5.377173485,3.022349545,1.09016877,-1.389510493,3.022349545,-9.62247569
-9.622475554,1.994549761,2.475704872,-3.978300281,-5.377173558,3.022349505,1.090168691,-1.389510472,3.022349505,-9.622475554
-9.622475372,1.994549769,2.47570492,-3.978300258,-5.377173599,3.022349449,1.090168609,-1.389510445,3.022349449,-9.622475372
-9.622475445,1.994549759,2.475704886,-3.978300259,-5.377173561,3.022349471,1.090168651,-1.389510456,3.022349471,-9.622475445
-9.622475534,1.994549755,2.475704863,-3.978300271,-5.377173542,3.022349498,1.090168691,-1.389510469,3.022349498,-9.622475534
-9.622475495,1.994549761,2.475704881,-3.97830027,-5.377173561,3.022349486,1.090168668,-1.389510464,3.022349486,-9.622475495
-9.622475451,1.994549762,2.475704892,-3.978300264,-5.37717357,3.022349473,1.090168649,-1.389510457,3.022349473,-9.622475451
-9.622475472,1.99454976,2.475704882,-3.978300265,-5.37717356,3.02234948,1.090168661,-1.38951046,3.02234948,-9.622475472
-9.622475493,1.994549759,2.475704877,-3.978300268,-5.377173556,3.022349486,1.09016867,-1.389510463,3.022349486,-9.622475493
-9.622475482,1.99454976,2.475704882,-3.978300267,-5.377173561,3.022349483,1.090168664,-1.389510462,3.022349483,-9.622475482
-9.622475472,1.994549761,2.475704884,-3.978300266,-5.377173563,3.022349479,1.09016866,-1.38951046,3.022349479,-9.622475472
-9.622475478,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349481,1.090168663,-1.389510461,3.022349481,-9.622475478
-9.622475483,1.99454976,2.475704881,-3.978300267,-5.37717356,3.022349483,1.090168665,-1.389510462,3.022349483,-9.622475483
-9.62247548,1.99454976,2.475704882,-3.978300267,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.62247548
-9.622475477,1.99454976,2.475704883,-3.978300266,-5.377173561,3.022349481,1.090168662,-1.389510461,3.022349481,-9.622475477
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.62247548,1.99454976,2.475704882,-3.978300267,-5.377173561,3.022349482,1.090168664,-1.389510461,3.022349482,-9.62247548
-9.622475479,1.99454976,2.475704882,-3.978300267,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349481,1.090168663,-1.389510461,3.022349481,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
-9.622475479,1.99454976,2.475704882,-3.978300266,-5.377173561,3.022349482,1.090168663,-1.389510461,3.022349482,-9.622475479
